Start,End,Distance
17161,17171,24.6
17171,17009,24.8
45009,44259,0.4
44259,44029,0.7
44029,44019,1.0
44019,43119,1.3
43119,43109,1.7
43109,43099,1.9
43099,43089,2.2
43089,43279,3.0
43279,43268,3.3
43268,43259,3.7
43259,43249,3.9
43249,43239,4.3
43239,43449,4.5
43449,43439,4.8
43439,43429,5.1
43429,43419,5.7
43419,43401,6.1
43401,43321,6.5
43321,43371,6.9
43371,43699,7.2
43699,28629,7.6
28629,28319,8.1
28319,28449,8.4
28449,28431,8.6
28431,28249,8.9
28249,28239,9.4
28239,28229,10.0
28229,20269,10.4
20269,20259,10.6
20259,20159,10.9
20159,20149,11.2
20149,20139,11.6
20139,20289,12.1
20289,17339,12.8
17339,17329,13.2
17329,17319,13.6
17319,17369,14.0
17369,17309,14.4
17309,17359,14.6
17359,17299,15.0
17299,16249,15.6
16249,16239,16.2
16239,16229,16.7
16229,16219,17.1
16219,15219,17.5
15219,15209,17.9
15209,15199,18.2
15199,15169,18.7
15169,15159,18.9
15159,15149,19.2
15149,14189,19.6
14189,14179,19.9
14179,14169,20.3
14169,14041,20.8
14041,14051,21.2
14051,14241,21.7
14241,10331,22.0
10331,10009,22.3
10009,10009,0.0
10009,10339,0.4
10339,14249,0.6
14249,14059,1.1
14059,14049,1.5
14049,14161,2.0
14161,14171,2.4
14171,15141,3.1
15141,15151,3.4
15151,15161,3.6
15161,15191,4.1
15191,15201,4.4
15201,15211,4.8
15211,16211,5.1
16211,16221,5.6
16221,16231,6.1
16231,16241,6.7
16241,17291,7.3
17291,17351,7.6
17351,17301,8.0
17301,17361,8.4
17361,17311,8.7
17311,17321,9.2
17321,17331,9.6
17331,20281,10.2
20281,20131,10.8
20131,20141,11.2
20141,20151,11.5
20151,20251,11.8
20251,20261,12.0
20261,20271,12.4
20271,28221,12.7
28221,28231,13.0
28231,28241,13.4
28241,28439,13.8
28439,28441,14.0
28441,28311,14.4
28311,28621,14.9
28621,43691,15.4
43691,43379,15.8
43379,43329,16.1
43329,43409,16.5
43409,43411,17.0
43411,43421,17.6
43421,43431,17.9
43431,43441,18.2
43441,43231,18.5
43231,43241,18.8
43241,43251,19.1
43251,43261,19.5
43261,43271,19.8
43271,43061,20.1
43061,43071,20.3
43071,43081,20.5
43081,43091,20.8
43091,43111,21.3
43111,44011,21.5
44011,44021,21.9
44021,44251,22.2
44251,45009,22.9
43009,43179,0.6
43179,43169,1.2
43169,43231,2.0
43231,43241,2.3
43241,43251,2.6
43251,43261,3.0
43261,43151,3.3
43151,43719,4.2
43719,43111,4.9
43111,44011,5.1
44011,44021,5.5
44021,44251,6.0
44251,44739,6.4
44739,44859,6.6
44859,44019,6.8
44019,43119,7.1
43119,43721,7.5
43721,43719,8.0
43719,43159,8.8
43159,43268,9.2
43268,43259,9.6
43259,43249,9.8
43249,43239,10.2
43239,43161,11.0
43161,43171,11.4
43171,43009,11.9
46009,46291,0.6
46291,46199,1.1
46199,46181,1.4
46181,46209,1.6
46209,46709,1.8
46709,46119,2.2
46119,46091,2.7
46091,46059,3.1
46059,46049,3.4
46049,46039,3.9
46039,46029,4.4
46029,45139,4.9
45139,45129,5.3
45129,45119,5.7
45119,45109,6.2
45109,45099,6.7
45099,45079,7.1
45079,45069,7.6
45069,45059,7.9
45059,45049,8.5
45049,45039,8.7
45039,45029,9.0
45029,44999,9.2
44999,45019,9.6
45019,44069,9.9
44069,44059,10.1
44059,44049,10.6
44049,44029,10.9
44029,44019,11.2
44019,43119,11.5
43119,43109,11.9
43109,43099,12.1
43099,43089,12.4
43089,43069,12.9
43069,43059,13.3
43059,43049,13.6
43049,43029,14.1
43029,43631,14.7
43631,43201,15.2
43201,43191,15.8
43191,43181,16.2
43181,43171,16.6
43171,43419,17.2
43419,43401,17.6
43401,43531,18.0
43531,43341,18.4
43341,43453,18.9
43453,28299,19.3
28299,28289,19.6
28289,28279,19.9
28279,28269,20.2
28269,28259,20.6
28259,28249,20.9
28249,28239,21.4
28239,28309,21.9
28309,20061,22.6
20061,20081,23.2
20081,21011,24.4
21011,21021,24.9
21021,21171,25.7
21171,21181,26.2
21181,21191,26.5
21191,21271,26.7
21271,21201,27.0
21201,21211,27.4
21211,21681,27.8
21681,21691,28.1
21691,22491,29.2
22491,22009,29.7
22009,22009,0.0
22009,22499,0.7
22499,21699,1.8
21699,21689,2.0
21689,21229,2.3
21229,21219,2.5
21219,21209,2.9
21209,21279,3.2
21279,21199,3.4
21199,21189,3.8
21189,21179,4.3
21179,21029,4.8
21029,21019,5.4
21019,20089,6.8
20089,20069,7.4
20069,20271,7.7
20271,28221,8.0
28221,28231,8.3
28231,28241,8.7
28241,28251,9.1
28251,28261,9.4
28261,28271,9.8
28271,28281,10.1
28281,28291,10.4
28291,43459,10.9
43459,43349,11.4
43349,43539,11.8
43539,43409,12.1
43409,43411,12.6
43411,43179,13.2
43179,43189,13.6
43189,43199,14.0
43199,43209,14.5
43209,43639,15.1
43639,43021,15.6
43021,43041,16.1
43041,43051,16.7
43051,43061,17.0
43061,43071,17.2
43071,43081,17.4
43081,43091,17.7
43091,43111,18.2
43111,44011,18.4
44011,44021,18.8
44021,44041,19.1
44041,44051,19.6
44051,43991,19.8
43991,44061,20.0
44061,45011,20.2
45011,45021,20.6
45021,45031,21.0
45031,45041,21.5
45041,45051,21.8
45051,45061,22.2
45061,45071,22.5
45071,45091,23.0
45091,45101,23.5
45101,45111,23.9
45111,45121,24.4
45121,45131,24.7
45131,46389,25.5
46389,46499,26.2
46499,46519,26.6
46519,46509,26.9
46509,46069,27.7
46069,46088,28.0
46088,46111,28.4
46111,46201,28.9
46201,46189,29.1
46189,46191,29.4
46191,46299,29.8
46299,46009,30.3
46009,46291,0.6
46291,46199,1.1
46199,46181,1.4
46181,46209,1.6
46209,46709,1.8
46709,46119,2.2
46119,46091,2.7
46091,46059,3.1
46059,46049,3.4
46049,46039,3.9
46039,46029,4.4
46029,45139,4.9
22009,22501,0.8
22501,22511,1.1
22511,22521,1.4
22521,22451,1.7
22451,27301,2.0
27301,27321,2.5
27321,27281,3.3
27281,27291,3.6
27291,27311,3.8
27311,27061,4.1
27061,27211,4.5
27211,27221,4.9
27221,27231,5.4
27231,27241,5.9
27241,27251,6.2
27251,27261,6.5
27261,27329,7.5
27329,27309,7.9
27309,22459,8.2
22459,22529,8.5
22529,22519,8.8
22519,22509,9.1
22509,22009,9.6
22009,27281,3.3
27281,27291,3.6
27291,27311,3.8
27311,27061,4.1
27061,27211,4.5
27211,27221,4.9
27221,27231,5.4
27231,27241,5.9
27241,27251,6.2
27251,27261,6.5
27261,22009,9.6
84009,84301,13.2
84301,84311,13.5
84311,84321,13.8
84321,84341,14.1
84341,84221,14.5
84221,84251,15.1
84251,84261,15.5
84261,84271,16.0
84271,84591,16.4
75019,76559,0.4
76559,76191,0.6
76191,76201,0.9
76201,76211,1.2
76211,76221,1.5
76221,76231,1.9
76231,76469,2.3
76469,76439,2.9
76439,76449,3.1
76449,76459,3.3
76459,76419,3.7
76419,76109,3.9
76109,76099,4.4
76099,76089,4.9
76089,76079,5.4
76079,75059,6.1
75059,75069,6.8
75069,75349,7.2
75349,84209,7.4
84209,84349,8.2
84349,84331,8.6
84331,84009,9.2
84009,84339,9.9
84339,84341,10.3
84341,84521,10.6
84521,84201,11.1
84201,75341,11.4
75341,75061,11.8
75061,75051,12.5
75051,76071,13.2
76071,76081,13.7
76081,76091,14.1
76091,76101,14.5
76101,76411,14.9
76411,76451,15.3
76451,76441,15.6
76441,76431,15.9
76431,76461,16.3
76461,76239,16.7
76239,76229,17.1
76229,76219,17.4
76219,76209,17.8
76209,76199,18.1
76199,76551,18.4
76551,75019,19.0
22009,22499,0.7
22499,21699,1.8
21699,21689,2.0
21689,28099,2.6
28099,28379,3.1
28379,28369,3.5
28369,28359,3.9
28359,28349,4.2
28349,28281,4.5
28281,28291,4.8
28291,43459,5.3
43459,43761,5.6
43761,43751,6.2
43751,43781,6.6
43781,43771,7.1
43771,43671,7.5
43671,44171,8.0
44171,44161,8.5
44161,44151,9.0
44151,44131,9.5
44131,44141,9.8
44141,44029,10.4
44029,45009,10.7
45009,44259,11.1
44259,44149,11.8
44149,44139,12.1
44139,44159,12.6
44159,44169,13.1
44169,44179,13.5
44179,43679,14.0
43679,43779,14.4
43779,43789,14.8
43789,43759,15.3
43759,43769,15.8
43769,43453,16.2
43453,28299,16.6
28299,28289,16.9
28289,28341,17.3
28341,28351,17.5
28351,28361,17.9
28361,28371,18.3
28371,28091,18.8
28091,21681,19.5
21681,21691,19.8
21691,22491,20.9
22491,22009,21.4
22009,22499,0.7
22499,21699,1.8
21699,21689,2.0
21689,28099,2.6
28099,28379,3.1
28379,28369,3.5
28369,28359,3.9
28359,28349,4.2
28349,28281,4.5
28281,28291,4.8
28291,43459,5.3
43459,43761,5.6
43761,43751,6.2
43751,43781,6.6
43781,43771,7.1
43771,43671,7.5
43671,44171,8.0
44171,44161,8.5
44161,44151,9.0
44151,44131,9.5
44131,44141,9.8
44141,44029,10.4
44029,45009,10.7
45009,44259,11.1
22009,22441,0.8
22441,22591,1.1
22591,27371,1.5
27371,27381,1.9
27381,27439,2.2
27439,27449,2.7
27449,27459,3.0
27459,27469,3.2
27469,27461,3.5
27461,27451,3.7
27451,27441,4.1
27441,27431,4.5
27431,27389,4.7
27389,27379,5.0
27379,22599,5.5
22599,22449,5.7
22449,22009,6.2
22009,22441,0.8
22441,22591,1.1
22591,27371,1.5
27371,27381,1.9
27381,27439,2.2
27439,27449,2.7
27449,27459,3.2
27459,27469,3.4
27469,27479,4.1
27479,27451,4.8
27451,27441,5.2
27441,27431,5.6
27431,27389,5.8
27389,27379,6.1
27379,22599,6.6
22599,22449,6.8
22449,22009,7.3
24009,23081,0.8
23081,24041,1.2
24041,24501,2.6
24501,25219,3.9
25219,25229,4.7
25229,25239,5.3
25239,25249,5.7
25249,25259,6.4
25259,25269,7.0
25269,25411,7.6
25411,25421,7.9
25421,25431,8.2
25431,25441,8.6
25441,25451,8.9
25451,25461,9.3
25461,26201,9.6
26201,26249,10.5
26249,26259,10.8
26259,26269,11.3
26269,26279,11.7
26279,26289,12.0
26289,26299,12.4
26299,26369,13.1
26369,26379,13.4
26379,26389,14.0
26389,26399,14.4
26399,26409,14.7
26409,26419,15.0
26419,26429,15.3
26429,26211,15.6
26211,26221,15.8
26221,26431,16.1
26431,26441,16.4
26441,26451,16.7
26451,26461,17.2
26461,26311,17.5
26311,26321,17.8
26321,26331,18.2
26331,26349,18.7
26349,26261,19.2
26261,26251,19.6
26251,26241,19.9
26241,26209,20.8
26209,25469,21.1
25469,25459,21.5
25459,25449,21.8
25449,25439,22.2
25439,25429,22.4
25429,25419,22.9
25419,25269,23.4
25269,25231,24.9
25231,25221,25.5
25221,24509,27.5
24509,24049,28.8
24049,23089,29.3
23089,24009,29.9
24009,23081,0.8
23081,24041,1.2
24041,24501,2.6
24501,25219,3.9
25219,25229,4.7
25229,25239,5.3
25239,25249,5.7
25249,25259,6.4
25259,25411,6.8
25411,25421,7.1
25421,25431,7.4
25431,25441,7.8
25441,25451,8.1
25451,25461,8.5
25461,26201,8.8
26201,26249,9.7
26249,26259,10.0
26259,26269,10.5
26269,26279,10.9
26279,26289,11.2
26289,26299,11.6
26299,26369,12.3
26369,26379,12.6
26379,26389,13.2
26389,26399,13.6
26399,26409,13.9
26409,26419,14.2
26419,26429,14.5
26429,26211,14.8
26211,26221,15.0
26221,26431,15.3
26431,26441,15.6
26441,26451,15.9
26451,26461,16.4
26461,26311,16.7
26311,26321,17.0
26321,26331,17.4
26331,26349,17.9
26349,26261,18.4
26261,26251,18.8
26251,26241,19.1
26241,26209,20.0
26209,25469,20.3
25469,25459,20.7
25459,25449,21.0
25449,25439,21.4
25439,25429,21.6
25429,25419,22.1
25419,25269,22.6
25269,25231,24.1
25231,25221,24.7
25221,24509,26.7
24509,24049,28.0
24049,23089,28.5
23089,24009,29.1
28009,28441,0.5
28441,28311,0.9
28311,28631,1.4
28631,28641,1.7
28641,28661,2.3
28661,28671,2.6
28671,28681,2.9
28681,28691,3.2
28691,28701,3.8
28701,28189,4.0
28189,28019,4.7
28019,20109,5.3
20109,17189,5.7
17189,17179,6.0
17179,17169,6.3
17169,17159,6.7
17159,17099,7.5
17099,16159,8.3
16159,16149,8.6
16149,16139,8.9
16139,16089,9.4
16089,16079,9.7
16079,16069,10.0
16069,16059,10.3
16059,16049,10.5
16049,16101,10.8
16101,16111,11.2
16111,16121,11.4
16121,16119,11.7
16119,16109,12.1
16109,16041,12.4
16041,16051,12.7
16051,16061,12.9
16061,16071,13.1
16071,16081,13.4
16081,16131,13.8
16131,16141,14.1
16141,16151,14.4
16151,17091,15.4
17091,17151,16.0
17151,17161,16.3
17161,17171,16.7
17171,17181,17.0
17181,20101,17.3
20101,28011,17.9
28011,28181,18.7
28181,28709,19.0
28709,28699,19.6
28699,28689,19.9
28689,28679,20.3
28679,28669,20.5
28669,28649,21.1
28649,28639,21.4
28639,28319,21.8
28319,28449,22.1
28449,28009,22.6
28009,28441,0.5
28441,28311,0.9
28311,28631,1.4
28631,28641,1.7
28641,28661,2.3
28661,28671,2.6
28671,28681,2.9
28681,28691,3.2
28691,28701,3.8
28701,28189,4.0
00481,44049,0.5
44049,44251,0.7
44251,44241,1.1
44241,44231,1.6
44231,44229,2.0
44229,43139,2.6
43139,43129,3.0
43129,43099,3.5
43099,43089,3.8
43089,43069,4.3
43069,43059,4.7
43059,43049,5.0
43049,43029,5.5
43029,43019,6.0
43019,42119,6.3
42119,42109,6.9
42109,42089,7.3
42089,42149,7.8
42149,12109,8.4
12109,12099,8.8
12099,12089,9.0
12089,12079,9.5
12079,12069,9.8
12069,17229,10.8
17229,17179,11.3
17179,17169,11.6
17169,17241,12.1
17241,17111,12.6
17111,12061,13.0
12061,12071,13.3
12071,12081,13.8
12081,12091,14.2
12091,12101,14.6
12101,42141,15.0
42141,42071,15.4
42071,42091,15.9
42091,42111,16.4
42111,43011,16.6
43011,43021,17.1
43021,43041,17.6
43041,43051,18.2
43051,43061,18.5
43061,43071,18.7
43071,43081,18.9
43081,43121,19.6
43121,43131,20.1
43131,44221,20.6
44221,44239,21.0
44239,44249,21.4
44249,44259,21.8
44259,44041,22.2
44041,00481,22.6
22609,22191,0.1
22191,22181,0.4
22181,22461,0.7
22461,22451,1.1
22451,27301,1.4
27301,27369,1.8
27369,27359,2.1
27359,27439,2.7
27439,27449,3.2
27449,27459,3.5
27459,27469,3.7
27469,27479,4.4
27479,21169,5.1
21169,28539,5.5
28539,28409,5.8
28409,28529,6.1
28529,28519,6.6
28519,28509,6.8
28509,28499,7.3
28499,28469,7.7
28469,28459,8.1
28459,28291,8.4
28291,12209,13.1
12209,17379,13.8
17379,17189,14.1
17189,17179,14.4
17179,17169,14.7
17169,17159,15.1
17159,19049,15.7
19049,19039,16.2
19039,19029,16.7
19029,19019,17.0
19019,11199,17.4
11199,11189,17.9
11189,11389,18.4
11389,11379,
11379,11381,0.3
11381,11181,0.7
11181,11191,1.2
11191,19011,1.7
19011,19021,2.1
19021,19031,2.5
19031,19041,2.9
19041,17151,3.6
17151,17161,3.9
17161,17171,4.3
17171,17181,4.6
17181,17371,5.0
17371,12201,5.7
12201,28299,9.8
28299,28451,10.1
28451,28461,10.5
28461,28491,11.0
28491,28501,11.4
28501,28511,11.8
28511,28521,12.1
28521,28401,12.4
28401,28531,12.7
28531,21161,13.2
21161,27471,14.0
27471,27461,14.6
27461,27451,14.8
27451,27441,15.2
27441,27431,15.6
27431,27351,16.2
27351,27361,16.5
27361,27309,16.9
27309,22459,17.2
22459,22469,17.4
22469,22189,17.7
22189,22199,18.1
03239,03223,0.7
03223,03151,1.1
03151,03041,1.5
03041,05131,1.9
05131,06171,2.3
06171,06161,2.8
06161,06151,3.1
06151,06141,3.6
06141,10221,3.9
10221,10231,4.3
10231,10241,4.8
10241,10261,5.2
10261,10271,5.5
10271,10281,5.9
10281,10291,6.3
10291,11131,6.8
11131,11141,7.0
11141,11151,7.6
11151,11061,8.1
11061,11071,8.5
11071,11081,8.8
11081,11091,9.2
11091,11101,9.7
11101,11111,10.0
11111,41101,10.2
41101,41111,10.6
41111,41029,11.3
41029,41019,11.8
41019,40099,12.2
40099,40231,12.5
40231,51091,14.0
51091,51101,14.4
51101,51019,15.0
51019,50161,15.5
50161,50171,15.8
50171,50191,16.1
50191,50201,16.3
50201,50211,16.6
50211,50991,17.0
50991,52129,17.5
52129,52109,17.8
52109,52499,18.3
52499,52499,0.0
52499,52451,0.3
52451,52129,0.6
52129,52109,0.9
52109,52099,1.4
52099,50159,1.7
50159,50209,1.9
50209,50199,2.1
50199,50189,2.4
50189,50179,2.6
50179,50169,2.9
50169,51109,3.4
51109,51099,4.0
51099,40249,4.9
40249,40239,5.2
40239,40091,5.7
40091,41011,6.2
41011,41021,6.6
41021,41119,7.1
41119,41109,7.4
41109,11119,7.8
11119,11109,8.1
11109,11099,8.4
11099,11089,8.8
11089,11079,9.3
11079,11069,9.6
11069,11159,10.2
11159,11149,10.6
11149,11139,10.9
11139,10299,11.4
10299,10289,11.7
10289,10279,12.1
10279,10269,12.4
10269,10249,12.8
10249,10239,13.3
10239,10229,13.6
10229,06149,13.9
06149,06159,14.2
06159,06169,14.6
06169,06189,15.0
06189,05129,15.4
05129,05319,15.8
05319,03059,16.4
03059,03129,16.8
03129,03218,17.4
03218,03239,17.6
46009,46549,0.9
46549,46539,1.3
46539,46529,1.7
46529,46491,2.0
46491,44269,9.4
44269,44239,10.0
44239,44249,10.4
44249,44259,10.8
44259,44149,11.5
44149,44139,11.8
44139,44159,12.3
44159,44169,12.8
44169,43529,13.2
43529,43641,13.6
43641,43831,13.9
43831,43491,14.1
43491,43481,14.6
43481,43471,14.9
43471,43461,15.2
43461,43411,15.7
43411,43701,16.2
43701,43389,16.7
43389,43699,17.1
43699,28629,17.5
28629,28321,17.9
28321,28331,18.3
28331,28451,18.8
28451,28461,19.2
28461,28491,19.7
28491,28501,20.1
28501,28511,20.5
28511,28521,20.8
28521,28399,21.1
28399,28389,21.5
28389,28091,21.9
28091,21681,22.6
21681,21691,22.9
21691,22491,24.0
22491,22009,24.5
22009,22009,0.0
22009,22499,0.7
22499,21699,1.8
21699,21689,2.0
21689,28099,2.6
28099,28381,3.0
28381,28391,3.4
28391,28529,3.7
28529,28519,4.2
28519,28509,4.4
28509,28499,4.9
28499,28469,5.3
28469,28459,5.7
28459,28339,6.1
28339,28329,6.5
28329,28621,6.9
28621,43691,7.4
43691,43381,7.7
43381,43709,8.3
43709,43419,8.8
43419,43469,9.4
43469,43479,9.7
43479,43489,10.0
43489,43499,10.4
43499,43839,10.8
43839,43649,11.1
43649,43521,11.4
43521,44161,11.9
44161,44151,12.4
44151,44131,12.9
44131,44141,13.2
44141,44251,13.8
44251,44241,14.2
44241,44231,14.7
44231,44261,15.4
44261,46499,22.4
46499,46521,22.6
46521,46531,23.0
46531,46541,23.4
46541,46009,24.1
44009,44461,0.7
44461,44451,1.0
44451,44441,1.4
44441,44121,1.8
44121,44159,2.5
44159,44169,3.0
44169,43529,3.4
43529,43641,3.8
43641,43831,4.1
43831,43491,4.3
43491,43481,4.8
43481,43471,5.1
43471,43461,5.4
43461,43401,5.9
43401,43321,6.3
43321,43371,6.7
43371,43699,7.0
43699,28629,7.4
28629,28631,7.6
28631,28641,7.9
28641,28651,8.5
28651,28049,9.1
28049,28039,9.5
28039,28029,9.8
28029,28019,10.4
28019,20109,11.0
20109,17051,11.4
17051,20019,11.9
20019,17149,12.2
17149,17139,12.6
17139,17191,13.2
17191,16159,13.9
16159,16149,14.2
16149,16139,14.5
16139,16089,15.0
16089,16079,15.3
16079,16069,15.6
16069,16059,15.9
16059,16049,16.1
16049,16039,16.3
16039,16029,16.6
16029,16019,17.1
16019,16209,17.3
16209,15229,17.6
15229,15219,17.8
15219,15209,18.2
15209,15199,18.5
15199,15169,19.0
15169,15159,19.2
15159,15149,19.5
15149,14189,19.9
14189,14179,20.2
14179,14169,20.6
14169,14159,21.1
14159,14139,21.5
14139,14009,21.9
14009,14009,0.0
14009,14131,0.4
14131,14151,0.9
14151,14161,1.3
14161,14171,1.7
14171,15141,2.4
15141,15151,2.7
15151,15161,2.9
15161,15191,3.4
15191,15201,3.7
15201,15221,4.3
15221,16201,4.6
16201,16011,4.9
16011,16021,5.4
16021,16031,5.7
16031,16041,5.9
16041,16051,6.2
16051,16061,6.4
16061,16071,6.6
16071,16081,6.9
16081,16131,7.3
16131,16141,7.6
16141,16151,7.9
16151,17121,8.5
17121,17131,9.0
17131,17141,9.4
17141,17059,10.3
17059,20101,10.7
20101,28011,11.3
28011,28021,11.8
28021,28031,12.3
28031,28041,12.7
28041,28659,13.3
28659,28649,14.0
28649,28639,14.3
28639,28621,14.5
28621,43691,15.0
43691,43379,15.4
43379,43329,15.7
43329,43409,16.1
43409,43469,16.7
43469,43479,17.0
43479,43489,17.3
43489,43499,17.7
43499,43839,18.1
43839,43649,18.4
43649,43521,18.7
43521,44161,19.2
44161,44151,19.7
44151,44129,20.3
44129,44449,20.7
44449,44459,21.1
44459,44469,21.4
44469,44009,22.2
44009,44461,0.7
44461,44451,1.0
44451,44441,1.4
44441,44121,1.8
44121,43641,3.8
43641,43831,4.1
43831,43491,4.3
43491,43481,4.8
43481,43471,5.1
43471,43461,5.4
43461,43401,5.9
43401,43321,6.3
43321,43371,6.7
43371,43699,7.0
43699,28629,7.4
28629,28631,7.6
28631,28641,7.9
28641,28651,8.5
28651,20019,12.0
20019,16159,14.0
16159,16149,14.3
16149,16139,14.6
16139,15199,18.6
15199,15169,19.1
15169,15159,19.3
15159,15149,19.6
15149,14009,22.0
44009,44461,0.4
44461,44451,0.7
44451,44441,1.1
44441,44121,1.5
44121,43641,3.5
43641,43831,3.8
43831,43491,4.0
43491,43481,4.5
43481,43471,4.8
43471,43461,5.1
43461,43401,5.6
43401,43321,6.0
43321,43371,6.4
43371,43699,6.7
43699,28629,7.1
28629,28631,7.3
28631,28641,7.6
28641,28651,8.2
28651,14169,19.5
14169,14129,20.9
14129,14519,23.4
14519,14519,0.0
14519,14121,2.3
14121,14161,3.6
14161,28659,14.9
28659,28649,15.6
28649,28639,15.9
28639,28621,16.1
28621,43691,16.6
43691,43379,17.0
43379,43329,17.3
43329,43409,17.7
43409,43469,18.3
43469,43479,18.6
43479,43489,18.9
43489,43499,19.3
43499,43839,19.7
43839,43649,20.0
43649,44129,21.9
44129,44449,22.3
44449,44459,22.7
44459,44469,23.0
44469,44009,23.8
43009,43701,0.5
43701,43389,1.0
43389,43519,1.4
43519,43599,1.8
43599,43509,2.2
43509,43219,2.5
43219,43319,2.9
43319,42319,3.3
42319,12209,5.4
12209,17379,6.1
17379,17189,6.4
17189,17179,6.7
17179,17259,7.3
17259,17191,8.2
17191,16991,8.7
16991,16891,9.2
16891,17161,9.7
17161,17171,10.1
17171,17181,10.4
17181,17371,10.8
17371,12201,11.5
12201,42311,13.2
42311,43311,13.7
43311,43211,13.9
43211,43501,14.3
43501,43591,14.6
43591,43511,15.0
43511,43381,15.4
43381,43709,16.0
43709,43009,16.4
43009,43701,0.5
43701,43389,1.0
43389,43519,1.4
43519,43599,1.8
43599,43509,2.2
43509,43219,2.5
43219,43319,2.9
75009,76191,0.5
76191,76201,0.8
76201,76211,1.1
76211,76221,1.4
76221,76231,1.8
76231,76241,2.1
76241,98011,2.7
98011,98021,3.1
98021,98031,3.5
98031,98041,3.8
98041,98231,4.1
98231,98051,4.4
98051,98061,5.0
98061,98071,5.4
98071,99011,5.8
99011,99021,6.2
99021,99031,6.5
99031,99041,6.9
99041,99181,7.2
99181,99171,7.8
99171,99161,8.0
99161,95071,8.3
95071,95081,8.6
95081,95091,9.0
95091,95131,9.2
95131,95131,9.2
95131,95141,9.7
95141,95061,10.1
95061,95051,10.5
95051,95041,10.9
95041,95039,11.1
95039,95049,11.3
95049,95069,11.9
95069,95149,12.2
95149,95139,12.7
95139,95139,12.7
95139,95099,13.1
95099,95089,13.5
95089,95079,13.9
95079,99189,14.4
99189,99049,14.8
99049,99039,15.2
99039,99029,15.5
99029,99019,15.9
99019,98079,16.5
98079,98069,16.9
98069,98059,17.3
98059,98239,17.6
98239,98049,17.9
98049,98039,18.3
98039,98029,18.8
98029,98019,19.2
98019,76249,19.8
76249,76239,20.1
76239,76229,20.5
76229,76219,20.8
76219,76209,21.2
76209,76199,21.5
76199,75009,21.8
44009,44539,0.6
44539,44399,1.1
44399,44299,1.4
44299,44289,1.7
44289,44279,2.1
44279,44141,2.5
44141,44251,3.1
44251,44241,3.5
44241,44231,4.0
44231,44261,4.7
44261,40239,14.4
40239,40229,14.8
40229,40219,15.1
40219,40209,15.5
40209,40199,16.0
40199,09219,16.7
09219,09047,17.1
09047,09037,17.6
09037,08138,18.3
08138,08057,18.7
08057,08069,19.2
08069,04159,19.7
04159,04149,20.0
04149,04229,20.3
04229,04239,20.5
04239,05059,20.8
05059,05049,21.0
05049,05039,21.4
05039,05019,21.7
05019,10011,22.3
10011,10041,22.6
10041,10499,23.2
10499,10499,0.0
10499,10049,0.7
10049,10017,1.1
10017,05012,1.6
05012,05022,2.2
05022,04222,2.7
04222,04223,3.0
04223,04143,3.4
04143,04121,3.7
04121,08041,4.0
08041,08031,4.3
08031,08111,4.8
08111,08121,5.1
08121,09011,5.8
09011,09023,6.1
09023,09213,6.8
09213,40191,7.6
40191,40201,8.0
40201,40211,8.4
40211,40221,8.6
40221,40231,9.0
40231,44269,18.3
44269,44239,18.9
44239,44249,19.3
44249,44259,19.7
44259,44149,20.4
44149,44271,20.7
44271,44281,21.1
44281,44291,21.4
44291,44391,21.8
44391,44009,22.6
44009,44539,0.6
44539,44399,1.1
44399,44299,1.4
44299,44289,1.7
44289,44279,2.1
44279,44141,2.5
44141,44251,3.1
44251,44241,3.5
44241,44231,4.0
44231,44261,4.7
44261,40239,14.4
40239,40229,14.8
40229,40219,15.1
40219,40209,15.5
40209,40199,16.0
40199,09219,16.7
09219,09047,17.1
09047,09037,17.6
09037,08138,18.3
08138,08057,18.7
11379,11381,0.3
11381,11181,0.7
11181,11369,1.0
11369,18149,1.6
18149,18151,2.0
18151,18171,2.6
18171,18181,2.8
18181,18191,3.2
18191,18211,3.6
18211,18201,4.2
18201,18199,4.5
18199,18189,4.8
18189,18179,5.0
18179,18159,5.5
18159,18141,6.1
18141,11361,6.5
11361,11189,6.8
11189,11389,7.3
11389,11379,7.5
22009,22251,0.7
22251,22241,1.1
22241,22539,1.3
22539,22521,1.6
22521,22469,1.8
22469,22479,2.4
22479,23041,2.8
23041,23051,3.0
23051,23061,3.4
23061,23071,3.9
23071,23379,4.6
23379,23519,4.8
23519,24011,5.2
24011,24021,5.9
24021,24511,7.2
24511,25201,8.5
25201,25199,8.8
25199,25189,9.2
25189,25179,9.4
25179,25169,9.8
25169,25129,10.1
25129,25119,10.4
25119,25109,10.8
25109,25099,11.2
25099,25819,11.5
25819,25519,11.9
25519,24719,12.1
24719,25689,12.4
25689,25449,12.9
25449,25439,13.3
25439,25429,13.5
25429,25009,14.1
25009,25009,0.0
25009,25421,0.6
25421,25431,0.9
25431,25441,1.3
25441,25681,1.7
25681,24711,2.2
24711,25511,2.3
25511,25811,2.7
25811,25091,3.1
25091,25101,3.5
25101,25111,3.8
25111,25121,4.1
25121,25151,4.3
25151,25161,4.6
25161,25171,4.9
25171,25181,5.2
25181,25191,5.5
25191,25209,5.8
25209,24519,6.0
24519,24029,7.6
24029,24019,8.2
24019,23371,8.7
23371,23079,9.4
23079,23069,9.8
23069,23059,10.1
23059,23049,10.6
23049,22471,10.9
22471,22461,11.3
22461,22529,11.6
22529,22531,11.9
22531,22249,12.1
