23
333
903
174
990
502A
960
927
941
17A
113
154B
410W
913M
160
59
89e
856A
242
171
852
138B
599
985
47
192
142
36B
62A
189
912B
72B
12
125
960e
147
53M
569
565
962
151
130
11
529
87
661
22
243
926
58A
240A
265
860A
920
118B
882
169
147e
804
98B
103
NR2
405
381
334
143M
100
315
962B
116
991A
122
973
903M
88A
120
950
240
410
358
302A
70M
138A
371
130A
825
851
962C
139M
98
84
113A
298
961C
222B
225W
805
169B
170A
258
33B
43
127A
3A
965
178A
235
181M
971E
857
105B
70A
70B
222
196
141
21
900A
240M
1N
965A
859A
142A
372
5
653
857A
925
27
36
75A
268A
329
155
154A
858A
85A
154
10
307A
198A
53
587
90A
590
35M
96A
166
561
93
68
656
7A
882A
973A
54
129
262
123M
335
160A
NR5
117A
883
552
859B
159A
39
598
563
855
52
243W
92M
241A
538
947
15
983A
60
17
66B
107
246
167e
170X
853
133
139
533
198
228
858
34B
980
78A
161
115
963
945
400
89
18
95
32
31A
854
269
167
811A
975B
243G
123
150
197
36A
535
317
107M
657
92
3N
13A
189A
324
247
902
284
257
803
49
868E
195A
170
307
901
121
19
386
588
16
157
382G
77
188
72A
89A
105
201
3
83
45
660
159
14A
28
261
800
BPS1
162M
539
51
56
181
190A
176
859
91
180
NR1
66
92B
9A
158A
2N
14
55B
82
80A
254
158
860
67W
135
991B
194
991
10e
185
4N
2A
904
184
553
268
88
138
546
94A
NR7
248
964
252
97
135A
225G
30
66A
162
145
969A
143
179
374
589
229
273
975
963e
86
156
14e
951E
NR6
102
180A
811
807A
188R
72
94
944
71
98A
564
96B
253
972
73A
118
883B
178
172
55
106
45A
134
153
700A
812
851e
24
29A
7
410G
3B
300
119
63
97e
2
74e
8
966
665
42
518
913
64
241
982E
970
402
187
655
128
200A
663
9
199
191
560
41
90
169A
111
69
79A
856
88B
225
92A
74
73
983
183B
536
48
502
190
912A
188e
96
79
58
136
700
110
159B
325
401
900
175
80
145A
61
26
163
222A
62
7B
140
238
127
137A
101
15A
6N
513
106A
268C
386A
117
585
911
530
301
177
12e
30e
969
165
979
925C
6
13
63M
46
182
506
179A
251
31
51A
963R
78
255
195
196e
57
27A
CT18
34A
922
40
70
98M
95B
118A
382W
293
173A
109A
137
292
NR8
268B
85
60A
67
182M
37
174e
117B
974A
231
168
35
806
359
854e
196A
99
53A
75
193
76
302
200
272
NR3
974
21A
285
151e
853C
50
112A
CT8
518A
972A
38
5N
125A
25
291
112
850E
403
147A
34
249
531
269A
961
534
65
131A
43M
807
33A
981
20
761
912M
131
124
173
282
232
58B
186
912
132
163A
33
100A
4
131M
81
183
354
67A
109
29
